material_key,formula,cod_id,mineral_name,chemical_name,space_group,space_group_number,a_m,a_original_angstrom,a_uncertainty_angstrom,b_original_angstrom,b_uncertainty_angstrom,c_original_angstrom,c_uncertainty_angstrom,alpha_deg,beta_deg,gamma_deg,original_units,temperature_k,temperature_status,sample_form,r_factor_all,doi,authors,journal,year,title,source_key,source_locator,status,note,quality_flag
Al2O3:cod-1000032,Al2O3,1000032,Corundum,Aluminium oxide - $-alpha,R -3 c :H,167,4.760500000000e-10,4.7605,0.00005,4.7605,0.00005,12.9956,0.0002,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,0.038,10.1107/S0021889890002382,"Lutterotti, L; Scardi, P",Journal of Applied Crystallography,1990,Simultaneous structure and size-strain refinement by the Rietveld method,cod,COD entry 1000032,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Al2O3:cod-1000059,Al2O3,1000059,,Aluminium oxide,R -3 c :H,167,4.755400000000e-10,4.7554,0.0003,4.7554,0.0003,12.991,0.0006,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,0.07,10.1111/j.1151-2916.1994.tb09758.x,"Wang, X - L; Hubbard, C R; Alexander, K B; Becher, P F",Journal of the American Ceramic Society,1994,Neutron diffraction measurements of the residual stresses in Al2 O3 - Zr O2 (Ce O2) ceramic composites,cod,COD entry 1000059,verified,Source states no measurement temperature; not assumed to be ambient.,ok
Al2O3:cod-1010914,Al2O3,1010914,Corundum,Aluminium oxide,R -3 c :R,167,5.120000000000e-10,5.12,0.01,5.12,0.01,5.12,0.01,55.28,55.28,55.28,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1021/ja01680a027,"Pauling, L; Hendricks, S B",Journal of the American Chemical Society,1925,Crystal Structures of Hematite and Corundum,cod,COD entry 1010914,verified,Source states no measurement temperature; not assumed to be ambient.,low_precision
Al2O3:cod-2101052,Al2O3,2101052,,,R -3 c :H,167,4.754000000000e-10,4.754,0.0005,4.754,0.0005,12.982,0.0006,90,90,120,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1107/S0108768193006901,"Maslen, E. N.; Streltsov, V. A.; Streltsova, N. R.; Ishizawa, N.; Satow, Y.",Acta Crystallographica Section B,1993,Synchrotron X-ray study of the electron density in α-Al~2~O~3~,cod,COD entry 2101052,verified,Source states no measurement temperature; not assumed to be ambient. Source reports this same cell in more than one COD entry; kept once. Source reports this same cell in more than one COD entry; kept once. Source reports this same cell in more than one COD entry; kept once. Source reports this same cell in more than one COD entry; kept once.,ok
Al2O3:cod-2300448,Al2O3,2300448,corundum,aluminium oxide,R -3 c :H,167,4.758152000000e-10,4.758152,0.000042,4.758152,0.000042,12.9897,0.00018,90,90,120,angstrom,298,recorded_cell,single crystal or powder - see source,,10.1107/S1600576714003379,"Schreyer, Martin; Guo, Liangfeng; Thirunahari, Satyanarayana; Gao, Feng; Garland, Marc",Journal of Applied Crystallography,2014,"Simultaneous determination of several crystal structures from powder mixtures: the combination of powder X-ray diffraction, band-target entropy minimization and Rietveld methods",cod,COD entry 2300448,verified,,ok
Al2O3:cod-1000442,Al2O3,1000442,,Aluminium oxide - κ,P n a 21,33,4.843700000000e-10,4.8437,0.0002,8.33,0.0003,8.9547,0.0004,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,0.033,10.1039/a700054e,"Ollivier, Benoist; Retoux, Richard; Lacorre, Philippe; Massiot, Dominique; Férey, Gérard",Journal of Materials Chemistry,1997,"Crystal structure of κ-alumina: an X-ray powder diffraction, TEM and NMR study",cod,COD entry 1000442,verified,Source states no measurement temperature; not assumed to be ambient.,ok
BaTiO3:cod-2009488,BaTiO3,2009488,,,P 63/m m c,194,5.723800000000e-10,5.7238,0.0007,5.7238,0.0007,13.9649,0.0007,90,90,120,angstrom,296,recorded_cell,single crystal or powder - see source,0.043,10.1107/S0108270193008637,"Akimoto, J.; Gotoh, Y.; Oosawa, Y.",Acta Crystallographica Section C,1994,Refinement of hexagonal BaTiO~3~,cod,COD entry 2009488,verified,,ok
BaTiO3:cod-1513252,BaTiO3,1513252,,,P 4 m m,99,3.990500000000e-10,3.9905,0.0013,3.9905,0.0013,4.0412,0.0014,90,90,90,angstrom,300,recorded_cell,single crystal or powder - see source,0.0575,10.1107/S090904950900675X,"Yasuda, Nobuhiro; Murayama, Haruno; Fukuyama, Yoshimitsu; Kim, Jungeun; Kimura, Shigeru; Toriumi, Koshiro; Tanaka, Yoshihito; Moritomo, Yutaka; Kuroiwa, Yoshihiro; Kato, Kenichi; Tanaka, Hitoshi; Takata, Masaki",Journal of Synchrotron Radiation,2009,X-ray diffractometry for the structure determination of a submicrometre single powder grain,cod,COD entry 1513252,verified,,ok
CaO:cod-1011327,CaO,1011327,Lime,Calcium oxide,F m -3 m,225,4.778000000000e-10,4.778,0.05,4.778,0.05,4.778,0.05,90,90,90,angstrom,,not_stated_in_source,single crystal or powder - see source,,10.1007/BF01326966,"Gerlach, W",Zeitschrift fuer Physik,1922,Die Gitterstruktur der Erdalkalioxyde.,cod,COD entry 1011327,verified,Source states no measurement temperature; not assumed to be ambient.,low_precision
CaO:cod-1563196,CaO,1563196,,,F m -3 m,225,4.817400000000e-10,4.8174,0.0004,4.8174,0.0004,4.8174,0.0004,90,90,90,angstrom,293,recorded_cell,single crystal or powder - see source,,10.1016/j.jssc.2011.05.062,"Verbraeken, Maarten C.; Suard, Emmanuelle; Irvine, John T.S.",Journal of Solid State Chemistry,2011,Order and disorder in Ca2ND0.90H0.10‒A structural and thermal study,cod,COD entry 1563196,verified,,ok
