material_key,formula,space_group_number,space_group,material_class,materials_project_id,mp_energy_above_hull_ev_per_atom,mp_id_retrieved,n_lattice_determinations,note
Al2O3|P n a 21,Al2O3,33,P n a 21,oxide,mp-aaaaadis,0.020825,2026-09-17,1,
Al2O3|R -3 c :H,Al2O3,167,R -3 c :H,oxide,mp-aaaaabrz,0.000000,2026-09-17,4,
Al2O3|R -3 c :R,Al2O3,167,R -3 c :R,oxide,mp-aaaaabrz,0.000000,2026-09-17,1,
BaTiO3|P 4 m m,BaTiO3,99,P 4 m m,oxide,mp-aaaaaiwg,0.001957,2026-09-17,1,
BaTiO3|P 63/m m c,BaTiO3,194,P 63/m m c,oxide,mp-aaaaaiuf,0.002619,2026-09-17,1,
CaO|F m -3 m,CaO,225,F m -3 m,oxide,mp-aaaaadwf,0.000000,2026-09-17,3,
Cr2O3|R -3 c,Cr2O3,167,R -3 c,oxide,mp-aaaabcsd,0.000000,2026-09-17,1,
Cu2O|P n -3 m :1,Cu2O,224,P n -3 m :1,oxide,mp-aaaaaanx,0.000000,2026-09-17,1,
CuO|C 1 2/c 1,CuO,15,C 1 2/c 1,oxide,mp-aaabocjt,0.000265,2026-09-17,1,
Fe2O3|C 1 2/c 1,Fe2O3,15,C 1 2/c 1,oxide,mp-aaacpggu,0.168127,2026-09-17,1,
Fe2O3|R -3 c :H,Fe2O3,167,R -3 c :H,oxide,mp-aaaabdgk,0.000000,2026-09-17,1,
HfO2|P 1 21/c 1,HfO2,14,P 1 21/c 1,oxide,mp-aaaaaano,0.000000,2026-09-17,1,
In2O3|I a -3,In2O3,206,I a -3,oxide,mp-aaaabhle,0.000000,2026-09-17,1,
La2O3|P 63/m m c,La2O3,194,P 63/m m c,oxide,,,,1,"No Materials Project entry matched on (formula, space group); id left empty rather than guessed."
MgO|F m -3 m,MgO,225,F m -3 m,oxide,mp-aaaaabwr,0.000000,2026-09-17,4,
MnO|F m -3 m,MnO,225,F m -3 m,oxide,mp-aaaabcda,0.053369,2026-09-17,2,
MnO|P 63 m c,MnO,186,P 63 m c,oxide,mp-aaacewpv,0.058554,2026-09-17,1,
NiO|F m -3 m,NiO,225,F m -3 m,oxide,mp-aaaabcdd,0.000000,2026-09-17,2,
Sc2O3|I a -3,Sc2O3,206,I a -3,oxide,mp-aaaaaaii,0.000000,2026-09-17,3,
SiO2|P 1 21/n 1,SiO2,14,P 1 21/n 1,oxide,mp-aaabmche,0.007127,2026-09-17,1,
SiO2|P 32 2 1,SiO2,154,P 32 2 1,oxide,mp-aaaaakgo,0.000626,2026-09-17,2,
SiO2|P 41 21 2,SiO2,92,P 41 21 2,oxide,mp-aaaaakhd,0.005371,2026-09-17,1,
SnO2|P 42/m n m,SnO2,136,P 42/m n m,oxide,mp-aaaaabgy,0.000000,2026-09-17,5,
TiO2|P 42/m n m,TiO2,136,P 42/m n m,oxide,mp-aaaaadyf,0.043639,2026-09-17,1,
V2O5|P m m n :2,V2O5,59,P m m n :2,oxide,mp-aaaablkh,0.000000,2026-09-17,1,
WO3|P 6/m m m,WO3,191,P 6/m m m,oxide,mp-aaabfbfd,0.010920,2026-09-17,1,
Y2O3|I a -3,Y2O3,206,I a -3,oxide,mp-aaaaadya,0.000000,2026-09-17,2,
ZnO|P 63 m c,ZnO,186,P 63 m c,oxide,mp-aaaaadeb,0.000000,2026-09-17,1,
ZrO2|F m -3 m,ZrO2,225,F m -3 m,oxide,mp-aaaaacif,0.055673,2026-09-17,1,
ZrO2|P 42/n m c :1,ZrO2,137,P 42/n m c :1,oxide,mp-aaaaadva,0.027125,2026-09-17,1,
