material_key,sample_id,material_name,abbreviation,erosion_yield_m3_per_atom,erosion_yield_original,original_units,is_lower_bound,mass_loss_kg,mass_loss_original_g,density_kg_per_m3,density_original_g_per_cm3,area_m2,area_original_cm2,mission,exposure_start,exposure_end,fluence_atoms_per_m2,fluence_original,fluence_original_units,is_fluence_witness,source_key,source_locator,status,note
misse2:2-E5-6,2-E5-6,Acrylonitrile butadiene styrene,ABS,1.090000e-30,1.09E-24,cm^3/atom,false,0.000033861,0.033861,1050.0,1.0500,0.00034944,3.4944,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-7,2-E5-7,Cellulose acetate,CA,5.050000e-30,5.05E-24,cm^3/atom,false,0.000191482,0.191482,1291.1,1.2911,0.00034831,3.4831,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-8,2-E5-8,Poly-(p-phenylene terephthalamide),PPD-T (Kevlar),6.280000e-31,6.28E-25,cm^3/atom,false,0.000026790,0.026790,1442.2,1.4422,0.00035099,3.5099,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-9,2-E5-9,Polyethylene,PE,3.740000e-30,3.74E-24,cm^3/atom,true,0.000102760,0.102760,918.0,0.9180,0.00035489,3.5489,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-10,2-E5-10,Polyvinyl fluoride,PVF (Tedlar),3.190000e-30,3.19E-24,cm^3/atom,false,0.000132537,0.132537,1379.2,1.3792,0.00035737,3.5737,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-11,2-E5-11,Crystalline polyvinylfluoride w/white pigment,PVF (White Tedlar),1.010000e-31,1.01E-25,cm^3/atom,false,0.000004714,0.004714,1624.1,1.6241,0.00034176,3.4176,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-12,2-E5-12,Polyoxymethylene; acetal; polyformaldehyde,POM (Delrin),9.140000e-30,9.14E-24,cm^3/atom,false,0.000378378,0.378378,1398.4,1.3984,0.00035119,3.5119,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-13,2-E5-13,Polyacrylonitrile,PAN,1.410000e-30,1.41E-24,cm^3/atom,false,0.000047281,0.047281,1143.5,1.1435,0.00034768,3.4768,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-14,2-E5-14,Allyl diglycol carbonate,ADC (CR-39),6.800000e-30,6.80E-24,cm^3/atom,true,0.000267295,0.267295,1317.3,1.3173,0.00035392,3.5392,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-15,2-E5-15,Polystyrene,PS,3.740000e-30,3.74E-24,cm^3/atom,false,0.000115947,0.115947,1050.3,1.0503,0.00035043,3.5043,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-16,2-E5-16,Polymethyl methacrylate,PMMA,5.600000e-30,5.60E-24,cm^3/atom,true,0.000194588,0.194588,1162.8,1.1628,0.00035456,3.5456,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-17,2-E5-17,Polyethylene oxide,PEO,1.930000e-30,1.93E-24,cm^3/atom,false,0.000066395,0.066395,1147.0,1.1470,0.00035591,3.5591,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-18,2-E5-18,Poly(p-phenylene-2 6-benzobisoxazole),PBO (Zylon),1.360000e-30,1.36E-24,cm^3/atom,false,0.000056778,0.056778,1397.6,1.3976,0.00035526,3.5526,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-19,2-E5-19,Epoxide or epoxy,EP,4.210000e-30,4.21E-24,cm^3/atom,false,0.000140720,0.140720,1115.0,1.1150,0.00035576,3.5576,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-20,2-E5-20,Polypropylene,PP,2.680000e-30,2.68E-24,cm^3/atom,false,0.000072357,0.072357,906.5,0.9065,0.00035336,3.5336,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-21,2-E5-21,Polybutylene terephthalate,PBT,9.110000e-31,9.11E-25,cm^3/atom,false,0.000036429,0.036429,1331.8,1.3318,0.00035619,3.5619,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-22,2-E5-22,Polysulphone,PSU,2.940000e-30,2.94E-24,cm^3/atom,false,0.000105948,0.105948,1219.9,1.2199,0.00035010,3.5010,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-23,2-E5-23,Polyeurethane,PU,1.560000e-30,1.56E-24,cm^3/atom,false,0.000057227,0.057227,1234.5,1.2345,0.00035182,3.5182,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-24,2-E5-24,Polyphenylene isophthalate,PPPA (Nomex),1.410000e-30,1.41E-24,cm^3/atom,false,0.000030549,0.030549,720.0,0.7200,0.00035626,3.5626,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-25,2-E5-25,Graphite,PG,4.150000e-31,4.15E-25,cm^3/atom,false,0.000027730,0.02773,2220.0,2.2200,0.00035703,3.5703,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-26,2-E5-26,Polyetherimide,PEI,3.310000e-30,3.31E-24,cm^3/atom,true,0.000126853,0.126853,1287.3,1.2873,0.00035352,3.5352,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-27,2-E5-27,Polyamide 6 or nylon 6,PA 6,3.510000e-30,3.51E-24,cm^3/atom,false,0.000118376,0.118376,1123.3,1.1233,0.00035646,3.5646,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-28,2-E5-28,Polyamide 66 or nylon 66,PA 66,1.800000e-30,1.80E-24,cm^3/atom,false,0.000065562,0.065562,1225.2,1.2252,0.00035249,3.5249,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-29,2-E5-29,Polyimide,PI (CP1),1.910000e-30,1.91E-24,cm^3/atom,false,0.000080648,0.080648,1419.3,1.4193,0.00035316,3.5316,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-30,2-E5-30,Polyimide (PMDA),PI (Kapton H),3.000000e-30,3.00E-24,cm^3/atom,false,0.000124780,0.124780,1427.3,1.4273,0.00034590,3.4590,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,true,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,"Fluence witness sample; its erosion yield is the assumed calibration constant (3.0e-24 cm^3/atom) used to derive the fluence, not an independent measurement."
misse2:2-E5-31,2-E5-31,Polyimide (PMDA),PI (Kapton HN),2.810000e-30,2.81E-24,cm^3/atom,false,0.000121315,0.121315,1434.5,1.4345,0.00035676,3.5676,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-32,2-E5-32,Polyimide (BPDA),PI (Upilex-S),9.220000e-31,9.22E-25,cm^3/atom,false,0.000038127,0.038127,1386.6,1.3866,0.00035382,3.5382,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-33,2-E5-33,Polyimide (PMDA),PI (Kapton H),3.000000e-30,3.00E-24,cm^3/atom,false,0.000129250,0.129250,1427.3,1.4273,0.00035773,3.5773,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,true,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,"Fluence witness sample; its erosion yield is the assumed calibration constant (3.0e-24 cm^3/atom) used to derive the fluence, not an independent measurement."
misse2:2-E5-34,2-E5-34,High temperature polyimide resin,PI (PMR-15),3.020000e-30,3.02E-24,cm^3/atom,true,0.000118887,0.118887,1323.2,1.3232,0.00035256,3.5256,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-35,2-E5-35,Polybenzimidazole,PBI,2.210000e-30,2.21E-24,cm^3/atom,true,0.000082708,0.082708,1275.8,1.2758,0.00034762,3.4762,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
misse2:2-E5-36,2-E5-36,Polycarbonate,PC,4.290000e-30,4.29E-24,cm^3/atom,false,0.000142287,0.142287,1123.1,1.1231,0.00035010,3.5010,"MISSE 2 (PEC 2, tray 1 E5), ISS exterior",2001-08-16,2005-07-30,8.430000000000001e+25,8.43e21,atoms/cm^2,false,degroh2006_misse2_peace,"Table 4, p. 17 (PDF p. 21)",verified,
